bike_name	price	monthly_payment	engine_size	riding_style
2024 BMW M 1000 RR	39999	$667/MO	999	supersport
2022 BMW M 1000 RR 50th Anniversary Edition	35999	$600/MO	999	supersport
2022 Kawasaki Ninja H2	34999	$583/MO	998	supersport
2023 Ducati Panigale V4S	28999	$483/MO	1103	supersport
2010 Honda Gold Wing Trike and Trailer	27999	$467/MO	1832	touring
2024 BMW S1000RR	25499	$425/MO	999	supersport
2024 BMW S1000RR	24999	$417/MO	999	supersport
2023 Slingshot SL Autodrive	23999	$400/MO	1997	autocycle
2021 Slingshot R	22499	$375/MO	1997	autocycle
2022 Yamaha YZF-R1 Anniversary Edition	21499	$358/MO	998	supersport
2017 Yamaha YZF-R1M	20999	$350/MO	998	supersport
2021 Slingshot SL Autodrive	20499	$342/MO		
2024 Yamaha YZF-R1	20499	$342/MO		
2019 Slingshot SL	19999	$333/MO		
2024 Yamaha YZF-R1	19999	$333/MO		
2024 Yamaha YZF-R1	19999	$333/MO		
2022 Slingshot SL	19999	$333/MO		
2024 Kawasaki ZX-10R 40th Anniversary Edition	19999	$333/MO		
2024 Kawasaki Ninja ZX-10R KRT Edition	19499	$325/MO		
2024 Kawasaki Ninja ZX-10R KRT Edition	19499	$325/MO		
2023 Slingshot S with Tech Package	19499	$325/MO		
2023 Slingshot S with Tech Package	18999	$317/MO		
2024 Kawasaki Ninja ZX-10R KRT Edition	18999	$317/MO		
2022 Can-Am Spyder RT	18999	$317/MO		
2023 Yamaha YZF-R1	18599	$310/MO		
2020 Aprilia RSV4 Factory 1100	18499	$308/MO		
2023 Kawasaki Ninja ZX-10R KRT Edition	18499	$308/MO		
2025 Ducati Panigale V2	17999	$300/MO		
2019 Slingshot SLR	17999	$300/MO		
2020 Can-Am Spyder RT Limited	17999	$300/MO		
2023 Kawasaki Ninja ZX-10R	17999	$300/MO		
2023 Kawasaki Ninja ZX-10R KRT Edition	17999	$300/MO		
2022 Kawasaki Ninja ZX-10R	17999	$300/MO		
2019 Slingshot SL	17499	$292/MO		
2023 Honda CBR1000RR	17499	$292/MO		
2023 Suzuki GSX-R1000R	16999	$283/MO		
2023 Suzuki GSX-R1000R	16999	$283/MO		
2023 Suzuki Hayabusa	16999	$283/MO		
2023 Suzuki GSX-R1000	16999	$283/MO		
2018 Yamaha YZF-R1	16999	$283/MO		
2016 Yamaha YZF-R1 60th Anniversary	16999	$283/MO		
2023 Suzuki Hayabusa	16499	$275/MO		
2022 Suzuki GSX-R1000R	16297	$272/MO		
2023 Suzuki GSX-R1000	15999	$267/MO		
2019 Yamaha YZF-R6	15999	$267/MO		
2023 Suzuki GSX-R1000R	15999	$267/MO		
2019 Harley-Davidson Street Glide Special	15999	$267/MO		
2019 Slingshot SL	15999	$267/MO		
2018 Suzuki GSX-R1000R	15499	$258/MO		
2020 Yamaha YZF-R6	15499	$258/MO		
2022 Suzuki GSX-R1000R	15498	$258/MO		
2023 Suzuki GSX-R1000	15299	$255/MO		
2020 Yamaha YZF-R6	14999	$250/MO		
2022 Honda CBR1000RR	14999	$250/MO		
2025 Kawasaki Ninja ZX-6R	14999	$250/MO		
2024 Yamaha MT-10	14999	$250/MO		
2019 Can-Am Spyder RT Limited	14999	$250/MO		
2020 Yamaha YZF-R6	14999	$250/MO		
2023 Kawasaki Ninja ZX-14R	14899	$248/MO		
2024 Kawasaki Ninja ZX-6R	14499	$242/MO		
				
2025 UBD TEXAS T-SHIRT	30	$1/MO		
2025 UBD TEXAS HOODIE	60	$1/MO		
2023 Kawasaki Z125	2599	$43/MO		
2022 Benelli TNT 135	2999	$50/MO		
2022 Kawasaki KLX 300R	3999	$67/MO		
2010 Yamaha V Star 950	4299	$72/MO		
2021 Royal Enfield Himalayan	4499	$75/MO		
2013 Kawasaki Vulcan 900 Custom	4999	$83/MO		
2021 Honda CBR300	5499	$92/MO		
2022 Kawasaki Vulcan S	5687	$95/MO		
2023 Kawasaki Ninja 400	5799	$97/MO		
2023 Yamaha MT-03	5999	$100/MO		
2023 Yamaha YZF-R3	6299	$105/MO		
